Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CH4OX(63),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.875635999514166e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-6.390334816745788e-122,5.30093303958355e-54,3.531900510253418e-36,7.015924880150997e-89,2.389165810382005e-54,2.837412167251009e-132,6.068294017960599e-20,-1.1282151939751595e-105,6.068294017960599e-20,3.7609072568789033e-72,4.45864024585819e-71,1.7165380229585586e-112,1.9903219218133702e-113,1.2721921282760419e-37,1.929023925526557e-85,3.3140619538399725e-18,9.812348426971968e-20,3.9282121073471303e-22,1.0713148027748166e-37,3.9668953162147876e-37,3.9282121073337368e-22,4.3020588598146554e-54,6.647113646983888e-34,2.4542029125737636e-42,4.184179028033751e-47,6.281063001297265e-78,2.782475862981502e-52,3.5688657836042364e-37,1.6430913928814111e-75,3.0229850112154547e-106,7.37730803069778e-28,-3.290764162456585e-109,-3.0021882854541665e-124,3.4699731516606005e-92,4.873509283197175e-71,4.0738216139391304e-102,8.810465754881682e-88,-2.4001804727236827e-109
1.9251780798639664e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.1577375951728154e-119,6.293267704613059e-53,2.133267908217465e-35,7.753018766747976e-87,3.610507374840644e-53,1.0238503247569683e-129,1.6991223250289682e-19,2.1780350314614436e-104,1.6991223250289672e-19,1.0606360215768307e-70,1.401867836511118e-69,3.4315452545501826e-110,3.978868894523701e-111,7.684040454787299e-37,1.0007264932906792e-83,9.27937347075192e-18,2.747457559552151e-19,1.099899390059372e-21,6.47074140861091e-37,2.3960047709910677e-36,1.0998993900512822e-21,5.107404278244808e-53,4.014856628458522e-33,2.913629686802082e-41,4.967606207360225e-46,3.821189768409925e-76,3.303355344566231e-51,2.1555949332930922e-36,9.995726734744271e-74,6.04327415474813e-104,2.0656462490075683e-27,3.330437973022229e-107,5.543543665450583e-122,3.834416922666403e-90,1.3744075948147289e-69,3.8448414700545836e-100,5.074377196633392e-86,2.4291173097423803e-107
4.4004070396890666e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.887610817421315e-117,6.178767550998941e-52,1.0270766684182945e-34,7.014792148129322e-85,3.884019077129987e-52,3.7073512266742486e-127,3.883708171494785e-19,2.2997750401747622e-102,3.88370817149478e-19,2.307115018949379e-69,3.1274900268734336e-68,6.212854639335164e-108,7.203790781383286e-109,3.699534709026737e-36,4.3890079115930207e-82,2.1209996504575794e-17,6.279902993262059e-19,2.514055748717391e-21,3.1153834462456914e-36,1.1535731579512649e-35,2.5140557486784427e-21,5.014479806605789e-52,1.9329806270632945e-32,2.860618880778962e-40,4.877540557435996e-45,1.7251776088170355e-74,3.2432538659984685e-50,1.0378261698663116e-35,4.51254881753511e-72,1.0941421745551348e-101,4.7214771425319085e-27,6.9748893188170956e-105,2.310851893410265e-119,3.4690920823906803e-88,2.9896367270661426e-68,3.375272089832649e-98,2.275563720189153e-84,5.087266154529379e-105
9.350864959339266e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.5722994473584798e-114,5.465049926615805e-51,4.48551364840005e-34,5.3095746390020266e-83,3.5700826894544323e-51,1.1242734372966905e-124,8.252879864426421e-19,1.817780502014745e-100,8.2528798644264e-19,4.277002421501903e-68,5.857442693997536e-67,9.415339384168193e-106,1.0917064537408348e-106,1.6156840029105817e-35,1.6483695788236897e-80,4.507124257222348e-17,1.3344793860681876e-18,5.342368466068237e-21,1.3605697992930915e-35,5.037957051551495e-35,5.3423684658981375e-21,4.43525060128675e-51,8.441834109713464e-32,2.5301849631013125e-39,4.3146903236819893e-44,6.51477607997288e-73,2.868621315924592e-49,4.532459545117442e-35,1.7038525444082044e-70,1.6581298784424547e-99,1.0033138936175628e-26,1.1210468719587626e-102,7.438991638556992e-117,2.6254611473322256e-86,5.542282641330052e-67,2.5401590638829452e-96,8.561239446379429e-83,8.176565318880205e-103
1.9251780798639667e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,4.498765891583076e-112,4.59370375740443e-50,1.87261365087675e-33,3.6896277756346515e-81,3.0542809039835706e-50,3.127830215410893e-122,1.6991223250289703e-18,1.2883784442746524e-98,1.6991223250289615e-18,7.35107438371743e-67,1.0117275609589815e-65,1.3093261173600357e-103,1.5181606462029362e-104,6.745162664119656e-35,5.778493112802688e-79,9.279373470751855e-17,2.7474575595521507e-18,1.0998993900909154e-20,5.680111082233743e-35,2.103247896619924e-34,1.0998993900199024e-20,3.7280953734718125e-50,3.5242994558703973e-31,2.1267728468039926e-38,3.627700846536917e-43,2.2608572612490636e-71,2.411249063654508e-48,1.8922126384130211e-34,5.91145580484222e-69,2.3058465204579775e-97,2.065646254984322e-26,1.6031846567324094e-100,2.1293873959400504e-114,1.823971643357013e-84,9.525767801110952e-66,1.7826836915859315e-94,2.964485408162651e-81,1.169312755620418e-100
3.9053612477240464e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.2171050222458279e-109,3.7661958804135274e-49,7.65023778411126e-33,2.4603705965120363e-79,2.5253385154114358e-49,8.346822034999873e-120,3.44679100220163e-18,8.670196297520893e-97,3.446791002201594e-18,1.2183866688698816e-65,1.6810004738101986e-64,1.7467436187308848e-101,2.0253452411790675e-102,2.7556190375311064e-34,1.9837946472476605e-77,1.8823871897810755e-16,5.5734139065200744e-18,2.2312244771147894e-20,2.320510713642702e-34,8.592453930419287e-34,2.2312244768246784e-20,3.0565178278856024e-49,1.4397912352607848e-30,1.7436567596074508e-37,2.9757558336576816e-42,7.533454218121585e-70,1.9768876642758296e-47,7.730306041461385e-34,1.9687614690669292e-67,3.0761799080271296e-95,4.190310988269902e-26,2.1682056000736533e-98,5.762102807799921e-112,1.2156692977420693e-82,1.5788261543562207e-64,1.2243998149490375e-92,9.86302967725284e-80,1.5814213645093197e-98
7.865727583444207e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,3.204903276505516e-107,3.049963069508851e-48,3.0923484303219955e-32,1.6083479443871617e-77,2.0535633409656626e-48,2.1830327239842827e-117,6.942128356546965e-18,5.6888329191794833e-95,6.94212835654682e-18,1.9838268441152484e-64,2.7404550336562566e-63,2.2840471074380507e-99,2.6483474105840365e-100,1.1138652735278888e-33,6.894831579884101e-76,3.7912868751928094e-16,1.1225326600455914e-17,4.493874651385299e-20,9.379875314924202e-34,3.4732072600624474e-33,4.493874650212623e-20,2.4752473804569607e-48,5.819865668154737e-30,1.4120582659826802e-36,2.412350702024013e-41,2.4615620270926253e-68,1.600934885386855e-46,3.124713298727418e-33,6.426364508397073e-66,4.022421919954192e-93,8.439640497049305e-26,2.8543889836385305e-96,1.517443460436958e-109,7.938785098182031e-81,2.570709108392003e-63,8.509515192239853e-91,3.2178186417281115e-78,2.081902071403475e-96
1.5786460254884525e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,8.333343366082238e-105,2.4548756196586484e-47,1.243419704159606e-31,1.0418545742458702e-75,1.6562732299197792e-47,5.657097362408319e-115,1.393280306523769e-17,3.68627906969008e-93,1.3932803065237112e-17,3.201904524561259e-63,4.425842195387717e-62,2.959327450382659e-97,3.431333427656135e-98,4.478803275281398e-33,2.504588840952279e-74,7.609086246016094e-16,2.2529151988327574e-17,9.01917500081737e-20,3.771606604020301e-33,1.3965613634447837e-32,9.019174996102088e-20,1.99229443000061e-47,2.3401418194295882e-29,1.1365470404601187e-35,1.945704595501963e-40,7.971612821681458e-67,1.2885716748841531e-45,1.2564334742762684e-32,2.0768894264819213e-64,5.211654157543162e-91,1.693829968344109e-25,3.7107908406497813e-94,3.945813865099981e-107,5.132166210271593e-79,4.149134865237497e-62,6.178405669472573e-89,1.0396776871563683e-76,2.706534817669793e-94
3.1627925597765167e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996377,0.022821567693054264,2.1565232685111582e-102,1.9698830829566546e-46,4.986669154512511e-31,6.728567892025579e-74,1.3304087302576148e-46,1.4614527056147083e-112,2.791415248261937e-17,2.3738605290916282e-91,2.7914152482617054e-17,5.145374613433087e-62,7.114412054235566e-61,3.822512649960242e-95,4.432194697173269e-96,1.796200432760547e-32,9.839854268904052e-73,1.524468498766193e-15,4.5136802764070795e-17,1.806977570324572e-19,1.5125829326917925e-32,5.600835693901014e-32,1.8069775684335323e-19,1.5986908042238295e-46,9.385010785735582e-29,9.120069440098002e-35,1.5677808805456915e-39,2.5740154026070015e-65,1.0339976191896655e-44,5.038860184221421e-32,6.678961692935468e-63,6.731804531367035e-89,3.3935618731556583e-25,4.801349715384956e-92,1.0211184906137683e-104,3.3011155773959048e-77,6.667548341823138e-61,4.849578844839965e-87,3.343019806619798e-75,3.501954390436178e-92
6.331085628352644e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999677,0.11866996602996221,0.02282156769305424,5.584152903228399e-100,1.578303606216568e-45,1.9972687008547914e-30,4.3519250595458715e-72,1.0664872688438763e-45,3.780908971846349e-110,5.587685131738367e-17,1.523973106934976e-89,5.587685131737436e-17,8.250502147095156e-61,1.1409580375163186e-59,4.944618625217292e-93,5.733274014998708e-94,7.194170662753167e-32,4.3034102287886126e-71,3.0515882470950665e-15,9.035210431555686e-17,3.617097712235926e-19,6.058221283412493e-32,2.2432556572661384e-31,3.6170977046619e-19,1.280898071430456e-45,3.758895853819124e-28,7.307146036685121e-34,1.2665090408304248e-38,8.324344094885896e-64,8.284563630462832e-44,2.0181723282176273e-31,2.1425480986086723e-61,8.707938756886824e-87,6.793025952911524e-25,6.216379661195013e-90,2.6440605223702582e-102,2.1180178062674812e-75,1.0691276348864717e-59,4.2363311262872096e-85,1.0723417558654696e-73,4.534033068265521e-90
1.2667671765504899e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999936,0.1186699660299591,0.022821567693054195,1.4549223174738227e-97,1.263602563307337e-44,7.994279885743373e-30,2.8333598344880692e-70,8.54054774268162e-45,9.84562936370389e-108,1.1180224898691598e-16,9.768502631256039e-88,1.1180224898687866e-16,1.3215141997863355e-59,1.827657320262944e-58,6.4381491551983e-91,7.465019255577528e-92,2.8795431200857505e-31,2.1139112113664464e-69,6.10582774375164e-15,1.8078270741852746e-16,7.237338001761393e-19,2.4248673009454075e-31,8.978868716582417e-31,7.237337971445521e-19,1.0254972838161901e-44,1.5045350112739218e-27,5.850147603625988e-33,1.0305923154858978e-37,2.7100989053144653e-62,6.632688312332892e-43,8.077948813844139e-31,6.864604277672995e-60,1.1338186572899379e-84,1.3591955192954326e-24,8.098421584515099e-88,6.888585147387787e-100,1.3572291172903988e-73,1.712462254692411e-58,4.1566407330157685e-83,3.435620057812596e-72,5.906735816552552e-88
2.534084403980941e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998733,0.11866996602995289,0.022821567693054105,3.845420098242668e-95,1.0112660887391286e-43,3.1987532973842114e-29,1.8716538127793115e-68,6.835899721301329e-44,2.6010880731286963e-105,2.236530443259955e-16,6.2566699529254546e-86,2.236530443258461e-16,2.1155704585451503e-58,2.925952362213278e-57,8.50484862166337e-89,9.861352567390126e-90,1.152192325896056e-30,1.1476676456062789e-67,1.2214306737060087e-14,3.6164391362446253e-16,1.4477818603623515e-18,9.702627496022169e-31,3.592717034087213e-30,1.4477818482320298e-18,8.207094738970812e-44,6.020076370927354e-27,4.681876401486058e-32,8.513809938728903e-37,8.953164069886366e-61,5.308166521042236e-42,3.232231720771709e-30,2.1980196034073883e-58,1.497783881077752e-82,2.7189817995164208e-24,1.0702818097458511e-85,1.8204735974198582e-97,8.691676440135036e-72,2.741426886020389e-57,4.508946811110174e-81,1.1000590990712645e-70,7.806301786393627e-86
5.068718858841843e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997473,0.11866996602994044,0.022821567693053924,1.0451171172448415e-92,8.091665232338038e-43,1.279709641192618e-28,1.2714292140425475e-66,5.4701047252978234e-43,7.065541311765723e-103,4.473546350042137e-16,4.005814511457791e-84,4.473546350036164e-16,3.385831185719489e-57,4.682884641180115e-56,1.1552400434333408e-86,1.3394981928358216e-87,4.609519566177639e-30,6.687728451769145e-66,2.4431264723658193e-14,7.233663260363082e-16,2.895877989859372e-18,3.88168260058766e-30,1.4373207538328264e-29,2.8958779413299983e-18,6.566922372297285e-43,2.408403811936867e-26,3.746180999152547e-31,7.237919895868318e-36,3.0422663496196245e-59,4.24733981180789e-41,1.293103153537647e-29,7.035773857083425e-57,2.0344864289142887e-80,5.4385560888081084e-24,1.4545700647981486e-83,4.946669958417149e-95,5.564370565470883e-70,4.3874731788489e-56,5.251583365247635e-79,3.5212464914608656e-69,1.0609181795265408e-83
1.0137987768563648e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999496,0.11866996602991556,0.022821567693053563,2.9847257141151416e-90,6.473946927306986e-42,5.11925543054021e-28,9.075446828920848e-65,4.376637825906488e-42,2.0162710286418628e-100,8.947578163608878e-16,2.5642160349963197e-82,8.947578163584987e-16,5.418064761140423e-56,7.493703960781353e-55,1.6486288792974968e-84,1.9115814184752438e-85,1.8439578896807662e-29,4.069659862237616e-64,4.886518069677924e-14,1.446811150859902e-15,5.792070285352783e-18,1.552799252662079e-29,5.749750908130489e-29,5.792070091217993e-18,5.2540361472673875e-42,9.634249374082967e-26,2.997179019511752e-30,6.471859207876584e-35,1.0865669513620586e-57,3.3981946405848573e-40,5.172833544216437e-29,2.251757545161683e-55,2.9033905792993955e-78,1.0877711582790326e-23,2.0774067241567492e-81,1.4121960532620332e-92,3.5616966787477976e-68,7.020909348640228e-55,6.389092930186962e-77,1.1269680320942925e-67,1.5151962461660255e-81
2.0276525588007256e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989924,0.11866996602986579,0.02282156769305284,9.22214088832687e-88,5.17940355844371e-41,2.047785701628161e-27,7.008168902615373e-63,3.501531890482077e-41,6.222989080864408e-98,1.7895641790751867e-15,1.6412565980903246e-80,1.789564179065629e-15,8.669491543471096e-55,1.1990796171657592e-53,2.5448264849016288e-82,2.950720484837488e-83,7.376131695865794e-29,2.5371517112609378e-62,9.77330126427207e-14,2.8937008005066983e-15,1.1584455022344957e-17,6.211448508439401e-29,2.2999939284093277e-28,1.1584454245762216e-17,4.203427530154488e-41,3.8537366197494314e-25,2.3977764945679702e-29,6.267289336842919e-34,4.199809254863497e-56,2.7186850257015785e-39,2.0692175824011496e-28,7.205941290058812e-54,4.481678828204487e-76,2.1756050232350135e-23,3.210215286623199e-79,4.361018994739236e-90,2.27958963055613e-66,1.1234216815269282e-53,7.964722553964452e-75,3.606568023609543e-66,2.3414329448296852e-79
4.055360122689447e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997986,0.11866996602976626,0.02282156769305139,3.170140813912116e-85,4.14362142704714e-40,8.191311094509543e-27,6.02058331763575e-61,2.80131416373251e-40,2.1363117076299298e-95,3.579176904507585e-15,1.0504548912705565e-78,3.579176904469353e-15,1.3871656803097166e-53,1.9185966363190956e-52,4.369545308280014e-80,5.066477751439242e-81,2.950512706873025e-28,1.602119233117983e-60,1.9546867653340105e-13,5.787480099798726e-15,2.3169225080413652e-17,2.4846289549847777e-28,9.200162713404603e-28,2.3169221973923623e-17,3.362820354250272e-40,1.5414300612070676e-24,1.9181378538462409e-28,6.757111722914957e-33,1.8063809858615918e-54,2.1750000510199637e-38,8.277038467660073e-28,2.305837563307115e-52,7.69518012019025e-74,4.3512838177851254e-23,5.519416520400244e-77,1.4981153774660402e-87,1.4588987594435347e-64,1.797535639034633e-52,1.0057813263839589e-72,1.1541447964343269e-64,4.025697727842629e-77
8.110775250466891e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767995973,0.11866996602956718,0.022821567693048498,1.2257921369158843e-82,3.3149368479219405e-39,3.276559076465207e-26,5.817937374573511e-59,2.2410867868474227e-39,8.249582148508842e-93,7.158402355387582e-15,6.723073425060342e-77,7.158402355234652e-15,2.2195027082581967e-52,3.0698089279281536e-51,8.439454980954702e-78,9.785528544516172e-79,1.1802170885850302e-27,1.0183258652015059e-58,3.9094000430995147e-13,1.1575038698376521e-14,4.6338767533391704e-17,9.9386089332721e-28,3.68010237854519e-27,4.6338755106538513e-17,2.690285828773898e-39,6.165015498793927e-24,1.5343223302833321e-27,8.194300668294735e-32,8.739310924751306e-53,1.7400213392381313e-37,3.3108488594777056e-27,7.37784637246915e-51,1.4862672922929546e-71,8.702685665437948e-23,1.0674344189714346e-74,5.788923894348231e-85,9.335909561462426e-63,2.876105775239242e-51,1.2785030356531134e-70,3.693330760372099e-63,7.785563471979288e-75
1.6221605506021778e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991947,0.11866996602916903,0.02282156769304271,5.2580561058326596e-80,2.651965798782324e-38,1.3106313426412534e-25,6.237370712352479e-57,1.792883603581208e-38,3.5350037683498996e-90,1.431685325720839e-14,4.3028188422649444e-75,1.4316853256596656e-14,3.551234405000897e-51,4.91173424370206e-50,1.8086467304130253e-75,2.097121649210888e-76,4.720892366307541e-27,6.493513609029303e-57,7.818826598438112e-13,2.3150155895507085e-14,9.267786179072838e-17,3.975457403450083e-27,1.4720483244054158e-26,9.267781207693843e-17,2.1522376218960722e-38,2.4654049789014786e-23,1.2271353964015325e-26,1.1015441347510009e-30,4.6895095736866084e-51,1.3920263680491886e-36,1.3243461139060592e-26,2.3603091370258482e-49,3.185196435923327e-69,1.7405666394953982e-22,2.2899651470797443e-72,2.4818776922221888e-82,5.973472705387679e-61,4.601808220693139e-50,1.6304657195692385e-68,1.181875710323231e-61,1.6702421049412386e-72
3.244326601713155e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679838945,0.11866996602837274,0.022821567693031137,2.4306723210962097e-77,2.1215798677422168e-37,5.2425470639540305e-25,7.207200513519663e-55,1.434312539168698e-37,1.6330299352266308e-87,2.8633755061093256e-14,2.7538206138611303e-73,2.863375505864631e-14,5.681999027809957e-50,7.85879559163925e-49,4.178318742405242e-73,4.844750547340683e-74,1.8883617490783202e-26,4.146612267608858e-55,1.5637679708345664e-12,4.630039028966807e-14,1.8535608774314368e-16,1.5901818933458338e-26,5.888207358168628e-26,1.8535588883843404e-16,1.7217891061368005e-37,9.856738293793258e-23,9.811839888317566e-26,1.594277590833899e-29,2.711174640467327e-49,1.1136260557113981e-35,5.297396600702681e-26,7.549031848962912e-48,7.35840941738155e-67,3.481233599082755e-22,5.293827803543639e-70,1.1469178593508286e-79,3.8210356700339574e-59,7.362924266251662e-49,2.0823159293053153e-66,3.7820121787514555e-60,3.8612131889770234e-70
6.48865870393511e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276796779,0.11866996602678015,0.022821567693007985,1.1767136086350719e-74,1.6972679064989686e-36,2.0970281715154315e-24,8.721814120638156e-53,1.1474522724860425e-36,7.902529657321726e-85,5.726755866983596e-14,1.7624504425860409e-71,5.726755866004818e-14,9.091217379653304e-49,1.2574053858252768e-47,1.0110817983387949e-70,1.172346795274195e-71,7.553456602643623e-26,2.6487939362625534e-53,3.1275385925082198e-12,9.260085907758951e-14,3.7071268965592305e-16,6.36069476506643e-26,2.3552852070116227e-25,3.7071189364432603e-16,1.3774235685191968e-36,3.9387804263375627e-22,7.841059286424217e-25,2.414511599214545e-28,1.6411147608332721e-47,8.909048141101889e-35,2.1189602731552195e-25,2.4131434735363636e-46,1.7806086893463852e-64,6.962850772994036e-22,1.2815035306685296e-67,5.551231356316198e-77,2.4429051582336013e-57,1.1780703488589973e-47,2.660251411903398e-64,1.210241717944088e-58,9.347180039994285e-68
1.2977322908379019e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679355814,0.11866996602359497,0.022821567692961685,5.842469000544887e-72,1.3578177233821211e-35,8.388171306073956e-24,1.0825530226183478e-50,9.179626802506436e-36,3.9228413019174773e-82,1.1453516589121331e-13,1.1279699019272797e-69,1.1453516585206216e-13,1.45459621596463e-47,2.0118356569506518e-46,2.5096518927742872e-68,2.9099344361739377e-69,3.021384563291801e-25,1.6909591553936435e-51,6.255079834624097e-12,1.8520179665183035e-13,7.414264955598994e-16,2.544246807077248e-25,9.421140968594179e-25,7.414233083886766e-16,1.1019240567592607e-35,1.5723859574525398e-21,6.2594102463772685e-24,3.7484821168578936e-27,1.0186894727779731e-45,7.127286051840613e-34,8.475837989226269e-25,7.705776655529887e-45,4.4197256546330935e-62,1.3927218139762562e-21,3.1814436582204907e-65,2.755925003119513e-74,1.560188633709941e-55,1.8849144582294272e-46,3.396445514360887e-62,3.872745920354293e-57,2.320591503173892e-65
2.5954651317266837e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678711635,0.11866996601722461,0.022821567692869086,2.93576001663098e-69,1.0862584070574846e-34,3.355311982567129e-23,1.3598861432040623e-48,7.343704343864554e-35,1.9709825156119158e-79,2.290703803495331e-13,7.219011768226358e-68,2.2907038019293105e-13,2.32735483901944e-46,3.2188900977719784e-45,6.304867791017375e-66,7.310473749080792e-67,1.208554210537433e-24,1.0774685062762409e-49,1.2510162313930137e-11,3.7040367179390365e-13,1.4828565320095701e-15,1.0176728740375562e-24,3.768452905999438e-24,1.4828437584152944e-15,8.815145885679676e-35,6.2646666062137036e-21,4.9861407930949204e-23,5.887751603200304e-26,6.398928592978214e-44,5.701898197477893e-33,3.3903294797118276e-24,2.4554798888116632e-43,1.1103427753768024e-59,2.786048494908118e-21,7.992846729582379e-63,1.3847345168500542e-71,9.943550829203032e-54,3.01586441975953e-45,4.328150592992708e-60,1.2392588650295082e-55,5.830465974843743e-63
5.1909308135042474e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767742328,0.11866996600448389,0.022821567692683883,1.4798649886918925e-66,8.69013007071344e-34,1.3421585479914692e-22,1.7137259991441099e-46,5.874963760341149e-34,9.935133329869852e-77,4.581408093284483e-13,4.620167935011498e-66,4.581408087020328e-13,3.7237676421752215e-45,5.150069531282129e-44,1.58905740978464e-63,1.842505381266694e-64,4.8342176187805396e-24,6.837900577867975e-48,2.5020327252839357e-11,7.408074220524166e-13,2.9657264322733445e-15,4.070482779750651e-24,1.5073776584851007e-23,2.9656751406815243e-15,7.051718304396866e-34,2.4861825129906403e-20,3.9550625217045486e-22,9.275569067629186e-25,4.032062033504028e-42,4.561625843970539e-32,1.3561265724757312e-23,7.791884908225749e-42,2.7984605941022857e-57,5.5745146870825166e-21,2.014286050181817e-60,6.979991788633926e-69,6.311119254259799e-52,4.825383353848471e-44,5.492930508410631e-58,3.965497979002884e-54,1.4695269534156917e-60
1.0381862177059375e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727674846577,0.11866996597900245,0.02282156769231348,7.427356165931852e-64,6.952202609519893e-33,5.3688971287104145e-22,2.1502934380641504e-44,4.699969721611452e-33,4.986573181285877e-74,9.162816675353557e-13,2.956906323871214e-64,9.162816650296917e-13,5.958025539194524e-44,8.239602448822342e-43,3.9878068166117005e-61,4.62383754962269e-62,1.9336872077886454e-23,4.304391677246274e-46,5.004065705184635e-11,1.4816149224669102e-12,5.9315065501111756e-15,1.628025774750807e-23,6.02948116527696e-23,5.931299834555713e-15,5.640735719373442e-33,9.790670498064389e-20,3.111050464666118e-21,1.4547205305292914e-23,2.529522014061806e-40,3.6494677396976754e-31,5.424463241804906e-23,2.4522696962766084e-40,7.022807462219863e-55,1.115869839265905e-20,5.053532239820771e-58,3.5031569395190453e-66,3.9730056468244663e-50,7.720611201459818e-43,6.914019086859537e-56,1.2688737815932619e-52,3.6877031248739384e-58
2.0763724904169632e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727669693166,0.11866996592803958,0.02282156769157267,3.6767132067869404e-61,5.561918947281337e-32,2.1477600716745174e-21,2.6611925266183735e-42,3.759973021492386e-32,2.468759068389234e-71,1.832563384945455e-12,1.8924180342340434e-62,1.8325633749228314e-12,9.532830366436285e-43,1.318174925953788e-41,9.871158554262298e-59,1.144550983105807e-59,7.734749191293359e-23,2.666846563187139e-44,1.0008131633461458e-10,2.9632299228857765e-12,1.1863235758786821e-14,6.510764011959077e-23,2.4117686040022193e-22,1.1862396943591894e-14,4.5115659626543354e-32,3.7982248435031923e-19,2.407582556957283e-20,2.2498779029824833e-22,1.5650876883122502e-38,2.919830175961524e-30,2.1697506003615445e-22,7.594947391327265e-39,1.7383565727257814e-52,2.23560710886017e-20,1.2501581912829174e-55,1.7341207555360895e-63,2.4616041808793094e-48,1.2352968541297462e-41,8.563696557850181e-54,4.0598522703842324e-51,9.127239058980606e-56
4.152745035839014e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072765938634,0.11866996582611383,0.022821567690091058,1.768440462010963e-58,4.449785659010679e-31,8.592520426826907e-21,3.200182716131284e-40,3.0079737293466595e-31,1.1877304996252592e-68,3.665126823750585e-12,1.2111447941748992e-60,3.6651267836604016e-12,1.525249348461251e-41,2.1085634214442336e-40,2.3743827439349216e-56,2.7530548490996334e-57,3.093899780187213e-22,1.6030873881348018e-42,2.0016263363916789e-10,5.926459922083095e-12,2.3727426535277487e-14,2.603234798024618e-22,9.646882949449119e-22,2.3723982078177827e-14,3.6076172771181766e-31,1.4324283704880995e-18,1.806373206817419e-19,3.380102138003848e-21,9.408145187091981e-37,2.336241745145564e-29,8.678724325726853e-22,2.2816202582204305e-37,4.1812837264160735e-50,4.486683761867591e-20,3.003402276200179e-53,8.340685870332981e-61,1.4797405489062083e-46,1.976471768532389e-40,1.0286714167785298e-51,1.2988048645462828e-49,2.194898581618804e-53
